Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct,id_cycle,type,ambient_temperature,time
(832.7495727539062-27.377193450927734j),(327.5276184082031-90.7842025756836j),(2.3826451184343957+0.5768348469823338j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(826.0628662109375-41.28160095214844j),(331.81427001953125-78.22703552246094j),(2.386236081290755+0.43815648355148706j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(825.5372924804688-48.6207275390625j),(331.9594421386719-69.78458404541016j),(2.411099396225583+0.36039595725282186j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(823.8683471679688-55.49310302734375j),(334.42803955078125-64.80252838134766j),(2.4053533822078035+0.3001538923745233j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(823.2815551757812-53.55828094482422j),(336.043701171875-57.236576080322266j),(2.4072350780200944+0.25063291603973814j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(823.1001586914062-57.515716552734375j),(335.83258056640625-52.724891662597656j),(2.4182074283911437+0.2083895731880582j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(821.2781982421875-62.85707092285156j),(338.4596252441406-48.688995361328125j),(2.4034951473464385+0.16003886170529746j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(821.6283569335938-63.494468688964844j),(337.4461975097656-46.823341369628906j),(2.414463951518237+0.1468643046013357j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(818.8565673828125-67.68135070800781j),(341.1257629394531-42.6021614074707j),(2.387987063676321+0.09982259716844313j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(818.4591064453125-66.28695678710938j),(340.3171081542969-45.85287857055664j),(2.387884439348403+0.12695341320092007j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(819.05712890625-59.492164611816406j),(341.6448974609375-37.90214157104492j),(2.38732905875194+0.09071617805505978j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(820.4246826171875-59.42210388183594j),(340.6214294433594-37.69456100463867j),(2.3985431910252593+0.09098056104447064j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(818.876953125-59.289573669433594j),(342.6640625-36.8858757019043j),(2.380775301460575+0.08325182386000841j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(817.4257202148438-61.095550537109375j),(343.8289489746094-35.849082946777344j),(2.3701802778078824+0.06943347531392459j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(814.841796875-60.570953369140625j),(345.8510437011719-37.36581802368164j),(2.3475677002289435+0.07849574147691053j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(817.3775634765625-37.2448844909668j),(345.1498718261719-29.252925872802734j),(2.3603721103901063+0.09214230826231586j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(815.313232421875-41.77429962158203j),(348.3915710449219-26.236316680908203j),(2.336002859699386+0.05601114606323844j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(814.5076293945312-40.173728942871094j),(348.4268798828125-26.1932373046875j),(2.3331538492056603+0.06009617715131614j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(812.7189331054688-39.27476119995117j),(349.6998596191406-30.274593353271484j),(2.316408834369392+0.08822872944275846j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(813.1388549804688-40.963829040527344j),(350.87701416015625-26.981521606445312j),(2.3127486931879364+0.06109733305361519j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(811.0642700195312-42.064064025878906j),(350.6673889160156-27.700836181640625j),(2.307989702059171+0.06236445506774336j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(810.6012573242188+0.37155914306640625j),(353.99847412109375-11.199278831481934j),(2.2875212148837836+0.07341881098783958j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(807.417236328125+0.7503566741943359j),(357.1911315917969-11.141542434692383j),(2.2582000831533424+0.07253872348735607j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(806.0610961914062+0.38350677490234375j),(360.19195556640625-11.444206237792969j),(2.2355747222948112+0.07209457222887192j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(805.568603515625+0.6715641021728516j),(359.2802429199219-10.94479751586914j),(2.240037698814097+0.07010773244556257j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(804.8192749023438+0.7145442962646484j),(362.4896240234375-10.821496963500977j),(2.218218892572395+0.06819227825682277j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(799.5785522460938-1.3795623779296875j),(360.9197692871094-10.059821128845215j),(2.2137780767609887+0.057881698014237766j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(801.1492309570312-9.109134674072266j),(363.60638427734375-16.987369537353516j),(2.1997111950182218+0.07771638093571433j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(798.5521240234375-11.934625625610352j),(366.2646789550781-13.028032302856445j),(2.1786622544689433+0.04491029997638005j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(804.6117553710938-17.233415603637695j),(362.9878845214844-8.526827812194824j),(2.2165274427174584+0.004591151144384706j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(798.0050659179688-15.195716857910156j),(366.9924621582031-11.298446655273438j),(2.1736599118718685+0.02551350414124907j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(802.8729248046875-18.737930297851562j),(361.4921569824219-4.688874244689941j),(2.2212954284828856-0.02302278268735814j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(796.409423828125-34.0101318359375j),(368.0252380371094-20.667457580566406j),(2.1623778390460333+0.02902170645325761j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(797.4878540039062-37.43787384033203j),(365.83056640625-17.220714569091797j),(2.1799246057502555+0.0002787781743743951j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(796.2982177734375-41.069618225097656j),(367.9244079589844-13.386432647705078j),(2.1654931436993516-0.03283660949519273j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(795.885009765625-41.042930603027344j),(367.80615234375-14.205986976623535j),(2.1649511596191844-0.02797033861150965j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(795.8868408203125-55.30548858642578j),(368.721435546875+1.5739521980285645j),(2.1578248107307276-0.15920365899848346j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(799.9124755859375-70.00422668457031j),(364.6387634277344+15.022634506225586j),(2.1820989571555396-0.28188199413610715j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(807.7990112304688-87.1968765258789j),(355.44586181640625+34.11507034301758j),(2.228561655539824-0.4592103375019172j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(828.1431274414062-102.63145446777344j),(336.4984436035156+50.721946716308594j),(2.361433101887077-0.6609478963827619j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(847.829833984375-115.48064422607422j),(316.8422546386719+65.86192321777344j),(2.492413792317394-0.8825710774009599j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(869.3401489257812-120.26204681396484j),(291.7185974121094+78.00830078125j),(2.6783040749958844-1.1284573544512264j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(889.4910278320312-109.65000915527344j),(267.77679443359375+88.11608123779297j),(2.875631287468714-1.3557536606549985j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(900.4780883789062-72.38292694091797j),(245.3245086669922+101.30121612548828j),(3.0317791163250103-1.5469544421411545j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(906.1560668945312-11.236082077026367j),(223.29742431640625+121.6972427368164j),(3.107605211301923-1.7439657846443872j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(908.7554321289062+106.90744018554688j),(182.25030517578125+145.5375213623047j),(3.33073853563723-2.073192635988069j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(880.6672973632812+278.6114501953125j),(139.55831909179688+157.82704162597656j),(3.7596820283232875-2.2554588206401296j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(807.7039184570312+436.9820556640625j),(94.80872344970703+161.9219970703125j),(4.184752945134905-2.537967917959523j),(0.16540953498211108-0.1290543436750961j),(0.09531481967353798-0.0016918943033691826j),0.06515815158455215,0.09555369570022001,1,impedance,24,2008.0
(835.9423217773438-23.705551147460938j),(322.0389404296875-96.2201919555664j),(2.4032324497997286+0.6444373969471157j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(827.39697265625-36.53870391845703j),(332.00201416015625-81.992919921875j),(2.374499416627613+0.4763628829291898j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(827.6669311523438-44.54975128173828j),(329.4959716796875-73.90431213378906j),(2.420474325610523+0.4076946316071933j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(827.1898803710938-50.216644287109375j),(332.2457275390625-67.91249084472656j),(2.419497933604492+0.3434129546909703j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(826.7703247070312-50.60543441772461j),(332.09393310546875-59.924530029296875j),(2.4376925284525464+0.2874853623881226j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(826.241943359375-56.816566467285156j),(333.4402770996094-55.681610107421875j),(2.43838822559775+0.23679447692334435j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(824.6558837890625-58.371009826660156j),(334.3111267089844-50.12286376953125j),(2.4381042111923743+0.19094116320699828j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(821.946044921875-63.13446807861328j),(335.9522399902344-48.52116394042969j),(2.4232104510783476+0.16205435475561752j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
(823.4146728515625-64.45174407958984j),(334.3735046386719-46.6671142578125j),(2.441896626517234+0.14805157738006788j),(0.1676537412678384-0.12457072878298986j),(0.09698395212768127-0.003447740897467678j),0.06319812376707153,0.10229511275627602,3,impedance,24,2008.0
